iot_id,timestamp,id,type,status,shift,floor,line
101,44:17.7,11518316813,rfid card,Logout,B,Floor B,Line 3
101,44:24.7,16302719,rfid card,Login,B,Floor B,Line 2
101,45:17.2,16302719,rfid card,Logout,B,Floor B,Line 3
101,45:50.2,11518316813,rfid card,Login,B,Floor B,Line 4
101,46:39.3,11518316813,rfid card,Logout,B,Floor B,Line 2
101,46:43.8,11518316813,rfid card,Login,B,Floor C,Line 3
101,46:55.5,11518316813,rfid card,Logout,B,Floor B,Line 4
101,49:01.9,11518316813,rfid card,Login,B,Floor B,Line 3
101,49:35.4,11518316813,rfid card,Logout,B,Floor B,Line 4
101,49:40.6,16302719,rfid card,Login,B,Floor B,Line 2
101,49:54.6,16302719,rfid card,Logout,B,Floor B,Line 3
101,50:00.4,11518316813,rfid card,Login,B,Floor B,Line 4
101,50:05.2,11518316813,rfid card,Logout,B,Floor B,Line 2
101,50:11.0,16302719,rfid card,Login,B,Floor C,Line 3
101,51:16.3,11518316813,rfid card,Login,A,Floor A,Line 1
101,51:29.8,11518316813,rfid card,Logout,A,Floor A,Line 1
101,52:36.2,11518316813,rfid card,Login,A,Floor A,Line 1
101,52:38.9,11518316813,rfid card,Logout,A,Floor A,Line 1
101,54:58.6,11518316813,rfid card,Login,A,Floor A,Line 1
101,55:04.5,11518316813,rfid card,Logout,A,Floor A,Line 1
101,59:48.1,11518316813,rfid card,Login,A,Floor A,Line 1
101,59:49.9,11518316813,rfid card,Logout,A,Floor A,Line 1
101,31:05.2,11518316813,rfid card,Login,A,Floor A,Line 1
101,58:51.2,11518316813,rfid card,Logout,B,Floor A,Line 1
101,58:57.7,11518316813,rfid card,Login,B,Floor A,Line 1
101,50:11.0,16302719,rfid card,Login,B,Floor C,Line 3
101,50:11.0,16302719,rfid card,Login,B,Floor C,Line 3
101,50:11.0,16302719,rfid card,Login,B,Floor C,Line 3
101,58:51.2,11518316813,rfid card,Logout,B,Floor A,Line 1
101,58:57.7,11518316813,rfid card,Login,B,Floor A,Line 1
101,50:11.0,16302719,rfid card,Login,B,Floor C,Line 3
101,50:11.0,16302719,rfid card,Login,B,Floor C,Line 3
101,50:11.0,16302719,rfid card,Login,B,Floor C,Line 3
101,58:51.2,11518316813,rfid card,Logout,B,Floor A,Line 1
101,58:57.7,11518316813,rfid card,Login,B,Floor A,Line 1
101,50:11.0,16302719,rfid card,Login,B,Floor C,Line 3
101,50:11.0,16302719,rfid card,Login,B,Floor C,Line 3
101,50:11.0,16302719,rfid card,Login,B,Floor C,Line 3
101,58:57.7,11518316813,rfid card,Login,B,Floor A,Line 1
